id,code,exception,tax_classification
__export__.l10n_br_fiscal_ncm_11737_5ee1ae58,0302.89.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11738_db5d056f,0302.89.21,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11739_58f5b97d,0302.89.22,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11740_94a031c4,0302.89.23,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11741_26f7042b,0302.89.24,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11742_e38ddd1e,0302.89.31,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11743_f270e957,0302.89.32,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11744_d137f01e,0302.89.33,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11745_f6088f9c,0302.89.34,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11746_b32a7090,0302.89.35,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11747_0cb56450,0302.89.36,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11748_518dfcf1,0302.89.37,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11749_1dc98e29,0302.89.38,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11750_c0d4d993,0302.89.41,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11751_b73d921e,0302.89.42,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11752_568ed1f6,0302.89.43,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11753_601470ba,0302.89.44,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11754_6fa28a9f,0302.89.45,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11755_3fc6409d,0302.89.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11756_8ad6a8bf,0302.91.00,,
__export__.l10n_br_fiscal_ncm_11757_9ec50c20,0302.92.00,,
__export__.l10n_br_fiscal_ncm_11758_2b6db570,0302.99.00,,
__export__.l10n_br_fiscal_ncm_11759_279dacda,0303.11.00,,
__export__.l10n_br_fiscal_ncm_11760_07eec4c7,0303.12.00,,
__export__.l10n_br_fiscal_ncm_11761_1a55bb35,0303.13.00,,
__export__.l10n_br_fiscal_ncm_11762_9fcb70d0,0303.14.00,,
__export__.l10n_br_fiscal_ncm_11763_53710635,0303.19.00,,
__export__.l10n_br_fiscal_ncm_11764_d919d195,0303.23.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11765_c5bb2b84,0303.24.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11766_700e9456,0303.24.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11767_022774a1,0303.25.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11768_c0d8dadc,0303.26.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11769_23deb01f,0303.29.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11770_523474df,0303.31.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11771_62e42945,0303.32.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11772_74acf20e,0303.33.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11773_2bd4b723,0303.34.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11774_4d619298,0303.39.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11775_a3e86601,0303.41.00,,
__export__.l10n_br_fiscal_ncm_11776_736e8f4e,0303.42.00,,
__export__.l10n_br_fiscal_ncm_11777_92e1a4fb,0303.43.00,,
__export__.l10n_br_fiscal_ncm_11778_f8a75f53,0303.44.00,,
__export__.l10n_br_fiscal_ncm_11779_1afc8bf8,0303.45.00,,
__export__.l10n_br_fiscal_ncm_11780_f4cd91d5,0303.46.00,,
__export__.l10n_br_fiscal_ncm_11781_5e5e4546,0303.49.00,,
__export__.l10n_br_fiscal_ncm_11782_3a5328e0,0303.51.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11783_6e212229,0303.53.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11784_5ab2f104,0303.54.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11785_c30c7418,0303.55.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11786_06cf46a1,0303.56.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11787_afd3fbe2,0303.57.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11788_1ce259d0,0303.59.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11789_746d2749,0303.59.20,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11790_143477bf,0303.59.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11791_195fda08,0303.63.00,,
__export__.l10n_br_fiscal_ncm_11792_ddac172b,0303.64.00,,
__export__.l10n_br_fiscal_ncm_11793_c74c510e,0303.65.00,,
__export__.l10n_br_fiscal_ncm_11794_c8e4d390,0303.66.00,,l10n_br_fiscal.tax_classification_200003
